source,probe,metric,value,train_on,test_on,layer,position
all,group,cv_accuracy,0.8168056842755638,base__none,base__none,8,pre_gen
all,group,majority,0.419524250849552,base__none,base__none,8,pre_gen
all,behavior,cv_auroc,0.596092376226017,base__none,base__none,8,pre_gen
all,behavior,refusal_rate,0.1719409282700422,base__none,base__none,8,pre_gen
false_reject,behavior,cv_auroc,0.49548398091342877,base__none,base__none,8,pre_gen
or_bench,behavior,cv_auroc,0.5512437810945273,base__none,base__none,8,pre_gen
xstest,behavior,cv_auroc,0.7403508771929824,base__none,base__none,8,pre_gen
all,group,cv_accuracy,0.8005374121537826,sft__none,sft__none,8,pre_gen
all,group,majority,0.38776353865233565,sft__none,sft__none,8,pre_gen
all,behavior,cv_auroc,0.7657284834774871,sft__none,sft__none,8,pre_gen
all,behavior,refusal_rate,0.40982286634460546,sft__none,sft__none,8,pre_gen
false_reject,behavior,cv_auroc,0.6741929698708751,sft__none,sft__none,8,pre_gen
or_bench,behavior,cv_auroc,0.6243883343119984,sft__none,sft__none,8,pre_gen
xstest,behavior,cv_auroc,0.6263559969442323,sft__none,sft__none,8,pre_gen
all,group,cv_accuracy,0.8034907597535934,dpo__none,dpo__none,8,pre_gen
all,group,majority,0.3868583162217659,dpo__none,dpo__none,8,pre_gen
all,behavior,cv_auroc,0.8248359590544496,dpo__none,dpo__none,8,pre_gen
all,behavior,refusal_rate,0.3272,dpo__none,dpo__none,8,pre_gen
false_reject,behavior,cv_auroc,0.6756172891596767,dpo__none,dpo__none,8,pre_gen
or_bench,behavior,cv_auroc,0.662272676350872,dpo__none,dpo__none,8,pre_gen
xstest,behavior,cv_auroc,0.7363753063367955,dpo__none,dpo__none,8,pre_gen
all,group,cv_accuracy,0.8039778552388763,final__none,final__none,8,pre_gen
all,group,majority,0.38609801107238056,final__none,final__none,8,pre_gen
all,behavior,cv_auroc,0.8100114744693059,final__none,final__none,8,pre_gen
all,behavior,refusal_rate,0.336,final__none,final__none,8,pre_gen
false_reject,behavior,cv_auroc,0.7301491738577832,final__none,final__none,8,pre_gen
or_bench,behavior,cv_auroc,0.6033568627450979,final__none,final__none,8,pre_gen
xstest,behavior,cv_auroc,0.6991349286597012,final__none,final__none,8,pre_gen
all,group,transfer_accuracy,0.5795783381562629,base__none,sft__none,8,pre_gen
all,behavior,transfer_auroc,0.6712972765795491,base__none,sft__none,8,pre_gen
all,group,transfer_accuracy,0.575564681724846,base__none,dpo__none,8,pre_gen
all,behavior,transfer_auroc,0.64716587832043,base__none,dpo__none,8,pre_gen
all,group,transfer_accuracy,0.576789009637072,base__none,final__none,8,pre_gen
all,behavior,transfer_auroc,0.6265720022948938,base__none,final__none,8,pre_gen
all,group,transfer_accuracy,0.9032854209445585,sft__none,dpo__none,8,pre_gen
all,behavior,transfer_auroc,0.8809049652730333,sft__none,dpo__none,8,pre_gen
all,group,transfer_accuracy,0.9011687512815255,sft__none,final__none,8,pre_gen
all,behavior,transfer_auroc,0.8646615031554791,sft__none,final__none,8,pre_gen
all,group,transfer_accuracy,0.9247488209965142,dpo__none,final__none,8,pre_gen
all,behavior,transfer_auroc,0.8935829030407344,dpo__none,final__none,8,pre_gen
all,group,cv_accuracy,0.8115539079394501,base__none,base__none,8,first_gen
all,group,majority,0.419524250849552,base__none,base__none,8,first_gen
all,behavior,cv_auroc,0.6604665702786136,base__none,base__none,8,first_gen
all,behavior,refusal_rate,0.1719409282700422,base__none,base__none,8,first_gen
false_reject,behavior,cv_auroc,0.6051749602363099,base__none,base__none,8,first_gen
or_bench,behavior,cv_auroc,0.6536760641238253,base__none,base__none,8,first_gen
xstest,behavior,cv_auroc,0.6017543859649123,base__none,base__none,8,first_gen
all,group,cv_accuracy,0.7980570483670938,sft__none,sft__none,8,first_gen
all,group,majority,0.38776353865233565,sft__none,sft__none,8,first_gen
all,behavior,cv_auroc,0.9210098178221751,sft__none,sft__none,8,first_gen
all,behavior,refusal_rate,0.40982286634460546,sft__none,sft__none,8,first_gen
false_reject,behavior,cv_auroc,0.9056850789096125,sft__none,sft__none,8,first_gen
or_bench,behavior,cv_auroc,0.8923223722842043,sft__none,sft__none,8,first_gen
xstest,behavior,cv_auroc,0.8080977845683728,sft__none,sft__none,8,first_gen
all,group,cv_accuracy,0.8004106776180698,dpo__none,dpo__none,8,first_gen
all,group,majority,0.3868583162217659,dpo__none,dpo__none,8,first_gen
all,behavior,cv_auroc,0.9035930563510085,dpo__none,dpo__none,8,first_gen
all,behavior,refusal_rate,0.3272,dpo__none,dpo__none,8,first_gen
false_reject,behavior,cv_auroc,0.8435975764122126,dpo__none,dpo__none,8,first_gen
or_bench,behavior,cv_auroc,0.866051756973748,dpo__none,dpo__none,8,first_gen
xstest,behavior,cv_auroc,0.8366203757731357,dpo__none,dpo__none,8,first_gen
all,group,cv_accuracy,0.8015173262251384,final__none,final__none,8,first_gen
all,group,majority,0.38609801107238056,final__none,final__none,8,first_gen
all,behavior,cv_auroc,0.8892943201376937,final__none,final__none,8,first_gen
all,behavior,refusal_rate,0.336,final__none,final__none,8,first_gen
false_reject,behavior,cv_auroc,0.8625660579302963,final__none,final__none,8,first_gen
or_bench,behavior,cv_auroc,0.7964862745098039,final__none,final__none,8,first_gen
xstest,behavior,cv_auroc,0.8235029771935738,final__none,final__none,8,first_gen
all,group,transfer_accuracy,0.6616370400992145,base__none,sft__none,8,first_gen
all,behavior,transfer_auroc,0.8735905139950202,base__none,sft__none,8,first_gen
all,group,transfer_accuracy,0.6542094455852157,base__none,dpo__none,8,first_gen
all,behavior,transfer_auroc,0.8359241675848696,base__none,dpo__none,8,first_gen
all,group,transfer_accuracy,0.651220012302645,base__none,final__none,8,first_gen
all,behavior,transfer_auroc,0.8317584624211131,base__none,final__none,8,first_gen
all,group,transfer_accuracy,0.8823408624229979,sft__none,dpo__none,8,first_gen
all,behavior,transfer_auroc,0.9040989158906763,sft__none,dpo__none,8,first_gen
all,group,transfer_accuracy,0.8745130202993644,sft__none,final__none,8,first_gen
all,behavior,transfer_auroc,0.8983792312105565,sft__none,final__none,8,first_gen
all,group,transfer_accuracy,0.9231084683206889,dpo__none,final__none,8,first_gen
all,behavior,transfer_auroc,0.9327682157200229,dpo__none,final__none,8,first_gen
all,group,cv_accuracy,0.8381217176397899,base__none,base__none,16,pre_gen
all,group,majority,0.419524250849552,base__none,base__none,16,pre_gen
all,behavior,cv_auroc,0.6269469735453871,base__none,base__none,16,pre_gen
all,behavior,refusal_rate,0.1719409282700422,base__none,base__none,16,pre_gen
false_reject,behavior,cv_auroc,0.5370370370370371,base__none,base__none,16,pre_gen
or_bench,behavior,cv_auroc,0.6256495301271421,base__none,base__none,16,pre_gen
xstest,behavior,cv_auroc,0.6614035087719299,base__none,base__none,16,pre_gen
all,group,cv_accuracy,0.8511781727986771,sft__none,sft__none,16,pre_gen
all,group,majority,0.38776353865233565,sft__none,sft__none,16,pre_gen
all,behavior,cv_auroc,0.8594199363704343,sft__none,sft__none,16,pre_gen
all,behavior,refusal_rate,0.40982286634460546,sft__none,sft__none,16,pre_gen
false_reject,behavior,cv_auroc,0.8518830703012912,sft__none,sft__none,16,pre_gen
or_bench,behavior,cv_auroc,0.8161822274417694,sft__none,sft__none,16,pre_gen
xstest,behavior,cv_auroc,0.6895339954163483,sft__none,sft__none,16,pre_gen
all,group,cv_accuracy,0.8509240246406571,dpo__none,dpo__none,16,pre_gen
all,group,majority,0.3868583162217659,dpo__none,dpo__none,16,pre_gen
all,behavior,cv_auroc,0.9092534501655672,dpo__none,dpo__none,16,pre_gen
all,behavior,refusal_rate,0.3272,dpo__none,dpo__none,16,pre_gen
false_reject,behavior,cv_auroc,0.8465342357091019,dpo__none,dpo__none,16,pre_gen
or_bench,behavior,cv_auroc,0.901714029650099,dpo__none,dpo__none,16,pre_gen
xstest,behavior,cv_auroc,0.8363869763099545,dpo__none,dpo__none,16,pre_gen
all,group,cv_accuracy,0.852778347344679,final__none,final__none,16,pre_gen
all,group,majority,0.38609801107238056,final__none,final__none,16,pre_gen
all,behavior,cv_auroc,0.9157716580608146,final__none,final__none,16,pre_gen
all,behavior,refusal_rate,0.336,final__none,final__none,16,pre_gen
false_reject,behavior,cv_auroc,0.8800588668138336,final__none,final__none,16,pre_gen
or_bench,behavior,cv_auroc,0.8946823529411765,final__none,final__none,16,pre_gen
xstest,behavior,cv_auroc,0.868441748118189,final__none,final__none,16,pre_gen
all,group,transfer_accuracy,0.6686647374948326,base__none,sft__none,16,pre_gen
all,behavior,transfer_auroc,0.7024661147101156,base__none,sft__none,16,pre_gen
all,group,transfer_accuracy,0.6702258726899384,base__none,dpo__none,16,pre_gen
all,behavior,transfer_auroc,0.7072294305591492,base__none,dpo__none,16,pre_gen
all,group,transfer_accuracy,0.6719294648349395,base__none,final__none,16,pre_gen
all,behavior,transfer_auroc,0.7074325874928284,base__none,final__none,16,pre_gen
all,group,transfer_accuracy,0.8589322381930184,sft__none,dpo__none,16,pre_gen
