layer,position,vector,pair,cosine
8,pre_gen,harmless,base__none->sft__none,0.6471240520477295
8,pre_gen,harmless,base__none->dpo__none,0.6328203082084656
8,pre_gen,harmless,base__none->final__none,0.6345616579055786
8,pre_gen,harmless,sft__none->dpo__none,0.9871644973754883
8,pre_gen,harmless,sft__none->final__none,0.9846879243850708
8,pre_gen,harmless,dpo__none->final__none,0.9992924928665161
8,pre_gen,pseudo_harm,base__none->sft__none,0.565610408782959
8,pre_gen,pseudo_harm,base__none->dpo__none,0.5617563724517822
8,pre_gen,pseudo_harm,base__none->final__none,0.5638964176177979
8,pre_gen,pseudo_harm,sft__none->dpo__none,0.9812486171722412
8,pre_gen,pseudo_harm,sft__none->final__none,0.9790786504745483
8,pre_gen,pseudo_harm,dpo__none->final__none,0.9992845058441162
8,pre_gen,harmful,base__none->sft__none,0.5809420347213745
8,pre_gen,harmful,base__none->dpo__none,0.567281186580658
8,pre_gen,harmful,base__none->final__none,0.5694089531898499
8,pre_gen,harmful,sft__none->dpo__none,0.9857268333435059
8,pre_gen,harmful,sft__none->final__none,0.9834333062171936
8,pre_gen,harmful,dpo__none->final__none,0.9993515610694885
8,pre_gen,v_ref,base__none->sft__none,0.2617337107658386
8,pre_gen,v_ref,base__none->dpo__none,0.2532392740249634
8,pre_gen,v_ref,base__none->final__none,0.2550904154777527
8,pre_gen,v_ref,sft__none->dpo__none,0.9764471054077148
8,pre_gen,v_ref,sft__none->final__none,0.9725507497787476
8,pre_gen,v_ref,dpo__none->final__none,0.9992154240608215
8,pre_gen,v_over,base__none->sft__none,0.2085568755865097
8,pre_gen,v_over,base__none->dpo__none,0.21836549043655396
8,pre_gen,v_over,base__none->final__none,0.21992091834545135
8,pre_gen,v_over,sft__none->dpo__none,0.9641379117965698
8,pre_gen,v_over,sft__none->final__none,0.9592362642288208
8,pre_gen,v_over,dpo__none->final__none,0.9989646673202515
8,first_gen,harmless,base__none->sft__none,0.7090339064598083
8,first_gen,harmless,base__none->dpo__none,0.6694545149803162
8,first_gen,harmless,base__none->final__none,0.6646962761878967
8,first_gen,harmless,sft__none->dpo__none,0.9769071340560913
8,first_gen,harmless,sft__none->final__none,0.9729110598564148
8,first_gen,harmless,dpo__none->final__none,0.9993957877159119
8,first_gen,pseudo_harm,base__none->sft__none,0.6798394322395325
8,first_gen,pseudo_harm,base__none->dpo__none,0.6840268969535828
8,first_gen,pseudo_harm,base__none->final__none,0.6792508363723755
8,first_gen,pseudo_harm,sft__none->dpo__none,0.9581300616264343
8,first_gen,pseudo_harm,sft__none->final__none,0.9526100158691406
8,first_gen,pseudo_harm,dpo__none->final__none,0.9988260865211487
8,first_gen,harmful,base__none->sft__none,0.6215717196464539
8,first_gen,harmful,base__none->dpo__none,0.6257036328315735
8,first_gen,harmful,base__none->final__none,0.6286475658416748
8,first_gen,harmful,sft__none->dpo__none,0.990475594997406
8,first_gen,harmful,sft__none->final__none,0.988239049911499
8,first_gen,harmful,dpo__none->final__none,0.9994617700576782
8,first_gen,v_ref,base__none->sft__none,0.15923503041267395
8,first_gen,v_ref,base__none->dpo__none,0.16524899005889893
8,first_gen,v_ref,base__none->final__none,0.16680169105529785
8,first_gen,v_ref,sft__none->dpo__none,0.9540696740150452
8,first_gen,v_ref,sft__none->final__none,0.942862868309021
8,first_gen,v_ref,dpo__none->final__none,0.9987008571624756
8,first_gen,v_over,base__none->sft__none,0.06468191742897034
8,first_gen,v_over,base__none->dpo__none,0.06513568758964539
8,first_gen,v_over,base__none->final__none,0.047918614000082016
8,first_gen,v_over,sft__none->dpo__none,0.8642125725746155
8,first_gen,v_over,sft__none->final__none,0.8592055439949036
8,first_gen,v_over,dpo__none->final__none,0.9935500025749207
16,pre_gen,harmless,base__none->sft__none,0.6144163608551025
16,pre_gen,harmless,base__none->dpo__none,0.5538933277130127
16,pre_gen,harmless,base__none->final__none,0.554391086101532
16,pre_gen,harmless,sft__none->dpo__none,0.9273648262023926
16,pre_gen,harmless,sft__none->final__none,0.9223959445953369
16,pre_gen,harmless,dpo__none->final__none,0.9987473487854004
16,pre_gen,pseudo_harm,base__none->sft__none,0.5172296762466431
16,pre_gen,pseudo_harm,base__none->dpo__none,0.4661221504211426
16,pre_gen,pseudo_harm,base__none->final__none,0.46524477005004883
16,pre_gen,pseudo_harm,sft__none->dpo__none,0.8469103574752808
16,pre_gen,pseudo_harm,sft__none->final__none,0.8398473262786865
16,pre_gen,pseudo_harm,dpo__none->final__none,0.9988273978233337
16,pre_gen,harmful,base__none->sft__none,0.5285879373550415
16,pre_gen,harmful,base__none->dpo__none,0.49912071228027344
16,pre_gen,harmful,base__none->final__none,0.5015571713447571
16,pre_gen,harmful,sft__none->dpo__none,0.9498087763786316
16,pre_gen,harmful,sft__none->final__none,0.9467415809631348
16,pre_gen,harmful,dpo__none->final__none,0.9991812109947205
16,pre_gen,v_ref,base__none->sft__none,0.2080291211605072
16,pre_gen,v_ref,base__none->dpo__none,0.20854391157627106
16,pre_gen,v_ref,base__none->final__none,0.2070181965827942
16,pre_gen,v_ref,sft__none->dpo__none,0.9427593946456909
16,pre_gen,v_ref,sft__none->final__none,0.9385167360305786
16,pre_gen,v_ref,dpo__none->final__none,0.999104380607605
16,pre_gen,v_over,base__none->sft__none,0.23617666959762573
16,pre_gen,v_over,base__none->dpo__none,0.21578042209148407
16,pre_gen,v_over,base__none->final__none,0.21467958390712738
16,pre_gen,v_over,sft__none->dpo__none,0.7121424674987793
16,pre_gen,v_over,sft__none->final__none,0.7042422294616699
16,pre_gen,v_over,dpo__none->final__none,0.9984109401702881
16,first_gen,harmless,base__none->sft__none,0.709036648273468
16,first_gen,harmless,base__none->dpo__none,0.6260153651237488
16,first_gen,harmless,base__none->final__none,0.6214103102684021
16,first_gen,harmless,sft__none->dpo__none,0.9410382509231567
16,first_gen,harmless,sft__none->final__none,0.9363827705383301
16,first_gen,harmless,dpo__none->final__none,0.9990254044532776
16,first_gen,pseudo_harm,base__none->sft__none,0.6888371109962463
16,first_gen,pseudo_harm,base__none->dpo__none,0.6401620507240295
16,first_gen,pseudo_harm,base__none->final__none,0.6346538066864014
16,first_gen,pseudo_harm,sft__none->dpo__none,0.8750309348106384
16,first_gen,pseudo_harm,sft__none->final__none,0.8681714534759521
16,first_gen,pseudo_harm,dpo__none->final__none,0.998404860496521
16,first_gen,harmful,base__none->sft__none,0.5898540019989014
16,first_gen,harmful,base__none->dpo__none,0.5612146258354187
16,first_gen,harmful,base__none->final__none,0.5634756088256836
16,first_gen,harmful,sft__none->dpo__none,0.9579067826271057
16,first_gen,harmful,sft__none->final__none,0.9542593359947205
16,first_gen,harmful,dpo__none->final__none,0.9992882013320923
16,first_gen,v_ref,base__none->sft__none,0.16118554770946503
16,first_gen,v_ref,base__none->dpo__none,0.17014601826667786
16,first_gen,v_ref,base__none->final__none,0.1739412546157837
16,first_gen,v_ref,sft__none->dpo__none,0.943188488483429
16,first_gen,v_ref,sft__none->final__none,0.9345662593841553
16,first_gen,v_ref,dpo__none->final__none,0.9987660646438599
16,first_gen,v_over,base__none->sft__none,0.11001992225646973
16,first_gen,v_over,base__none->dpo__none,0.11804705113172531
16,first_gen,v_over,base__none->final__none,0.10191022604703903
16,first_gen,v_over,sft__none->dpo__none,0.7078796625137329
16,first_gen,v_over,sft__none->final__none,0.7027135491371155
16,first_gen,v_over,dpo__none->final__none,0.9934877753257751
19,pre_gen,harmless,base__none->sft__none,0.544585108757019
19,pre_gen,harmless,base__none->dpo__none,0.4590287208557129
19,pre_gen,harmless,base__none->final__none,0.45798951387405396
19,pre_gen,harmless,sft__none->dpo__none,0.9147224426269531
19,pre_gen,harmless,sft__none->final__none,0.9114832878112793
19,pre_gen,harmless,dpo__none->final__none,0.9987266063690186
19,pre_gen,pseudo_harm,base__none->sft__none,0.4748411774635315
19,pre_gen,pseudo_harm,base__none->dpo__none,0.38599300384521484
19,pre_gen,pseudo_harm,base__none->final__none,0.38531410694122314
19,pre_gen,pseudo_harm,sft__none->dpo__none,0.8201181888580322
19,pre_gen,pseudo_harm,sft__none->final__none,0.8153501749038696
19,pre_gen,pseudo_harm,dpo__none->final__none,0.9987685084342957
19,pre_gen,harmful,base__none->sft__none,0.45070090889930725
19,pre_gen,harmful,base__none->dpo__none,0.3996545374393463
19,pre_gen,harmful,base__none->final__none,0.40036141872406006
19,pre_gen,harmful,sft__none->dpo__none,0.9439800381660461
19,pre_gen,harmful,sft__none->final__none,0.9415606260299683
