source,probe,metric,value,train_on,test_on,layer,position
all,group,transfer_accuracy,0.7408624229979466,base__none,dpo__none,8,first_gen
all,behavior,transfer_auroc,0.8165436436216633,base__none,dpo__none,8,first_gen
all,group,transfer_accuracy,0.7401930581228179,base__none,final__none,8,first_gen
all,behavior,transfer_auroc,0.816785564172986,base__none,final__none,8,first_gen
all,group,transfer_accuracy,0.9180698151950719,sft__none,dpo__none,8,first_gen
all,behavior,transfer_auroc,0.9261636516167536,sft__none,dpo__none,8,first_gen
all,group,transfer_accuracy,0.9145615116040254,sft__none,final__none,8,first_gen
all,behavior,transfer_auroc,0.9299138065051042,sft__none,final__none,8,first_gen
all,group,transfer_accuracy,0.9353049907578558,dpo__none,final__none,8,first_gen
all,behavior,transfer_auroc,0.9536357302840297,dpo__none,final__none,8,first_gen
all,group,cv_accuracy,0.7868909919383106,base__none,base__none,16,pre_gen
all,group,majority,0.33613739922888186,base__none,base__none,16,pre_gen
all,behavior,cv_auroc,0.5974278684857973,base__none,base__none,16,pre_gen
all,behavior,refusal_rate,0.1772679874869656,base__none,base__none,16,pre_gen
false_reject,behavior,cv_auroc,0.6339557926829268,base__none,base__none,16,pre_gen
or_bench,behavior,cv_auroc,0.680976430976431,base__none,base__none,16,pre_gen
xstest,behavior,cv_auroc,0.4087591240875912,base__none,base__none,16,pre_gen
all,group,cv_accuracy,0.8605083694978302,sft__none,sft__none,16,pre_gen
all,group,majority,0.3883033684645588,sft__none,sft__none,16,pre_gen
all,behavior,cv_auroc,0.8629906727732815,sft__none,sft__none,16,pre_gen
all,behavior,refusal_rate,0.4433734939759036,sft__none,sft__none,16,pre_gen
false_reject,behavior,cv_auroc,0.8845830368118005,sft__none,sft__none,16,pre_gen
or_bench,behavior,cv_auroc,0.7197974683544304,sft__none,sft__none,16,pre_gen
xstest,behavior,cv_auroc,0.6790095238095238,sft__none,sft__none,16,pre_gen
all,group,cv_accuracy,0.8574948665297741,dpo__none,dpo__none,16,pre_gen
all,group,majority,0.3868583162217659,dpo__none,dpo__none,16,pre_gen
all,behavior,cv_auroc,0.9120455607542411,dpo__none,dpo__none,16,pre_gen
all,behavior,refusal_rate,0.3506805444355484,dpo__none,dpo__none,16,pre_gen
false_reject,behavior,cv_auroc,0.8849997318507661,dpo__none,dpo__none,16,pre_gen
or_bench,behavior,cv_auroc,0.816000827272414,dpo__none,dpo__none,16,pre_gen
xstest,behavior,cv_auroc,0.7776315789473685,dpo__none,dpo__none,16,pre_gen
all,group,cv_accuracy,0.8576709796672828,final__none,final__none,16,pre_gen
all,group,majority,0.3869377695625385,final__none,final__none,16,pre_gen
all,behavior,cv_auroc,0.9152315478555264,final__none,final__none,16,pre_gen
all,behavior,refusal_rate,0.33466773418734985,final__none,final__none,16,pre_gen
false_reject,behavior,cv_auroc,0.888808189804247,final__none,final__none,16,pre_gen
or_bench,behavior,cv_auroc,0.8268134103374377,final__none,final__none,16,pre_gen
xstest,behavior,cv_auroc,0.8183254344391785,final__none,final__none,16,pre_gen
all,group,transfer_accuracy,0.6891919818144244,base__none,sft__none,16,pre_gen
all,behavior,transfer_auroc,0.7539734822343518,base__none,sft__none,16,pre_gen
all,group,transfer_accuracy,0.7098562628336755,base__none,dpo__none,16,pre_gen
all,behavior,transfer_auroc,0.7991064641994494,base__none,dpo__none,16,pre_gen
all,group,transfer_accuracy,0.7102074347915383,base__none,final__none,16,pre_gen
all,behavior,transfer_auroc,0.791661628636738,base__none,final__none,16,pre_gen
all,group,transfer_accuracy,0.9577002053388091,sft__none,dpo__none,16,pre_gen
all,behavior,transfer_auroc,0.9439555427934396,sft__none,dpo__none,16,pre_gen
all,group,transfer_accuracy,0.9544054220579175,sft__none,final__none,16,pre_gen
