layer,position,vector,pair,cosine
16,pre_gen,v_over,dpo__none->final__none,0.9988475441932678
16,first_gen,harmless,base__none->sft__none,0.7996836304664612
16,first_gen,harmless,base__none->dpo__none,0.7473487257957458
16,first_gen,harmless,base__none->final__none,0.7458782196044922
16,first_gen,harmless,sft__none->dpo__none,0.9568143486976624
16,first_gen,harmless,sft__none->final__none,0.9558624029159546
16,first_gen,harmless,dpo__none->final__none,0.9990379810333252
16,first_gen,pseudo_harm,base__none->sft__none,0.779800295829773
16,first_gen,pseudo_harm,base__none->dpo__none,0.8140387535095215
16,first_gen,pseudo_harm,base__none->final__none,0.8147238492965698
16,first_gen,pseudo_harm,sft__none->dpo__none,0.9509577751159668
16,first_gen,pseudo_harm,sft__none->final__none,0.9496475458145142
16,first_gen,pseudo_harm,dpo__none->final__none,0.999659538269043
16,first_gen,harmful,base__none->sft__none,0.5345313549041748
16,first_gen,harmful,base__none->dpo__none,0.533119261264801
16,first_gen,harmful,base__none->final__none,0.5337337255477905
16,first_gen,harmful,sft__none->dpo__none,0.9905080795288086
16,first_gen,harmful,sft__none->final__none,0.990005373954773
16,first_gen,harmful,dpo__none->final__none,0.9997809529304504
16,first_gen,v_ref,base__none->sft__none,0.158662810921669
16,first_gen,v_ref,base__none->dpo__none,0.15242068469524384
16,first_gen,v_ref,base__none->final__none,0.15258178114891052
16,first_gen,v_ref,sft__none->dpo__none,0.9795108437538147
16,first_gen,v_ref,sft__none->final__none,0.980078935623169
16,first_gen,v_ref,dpo__none->final__none,0.9994723796844482
16,first_gen,v_over,base__none->sft__none,0.1949211061000824
16,first_gen,v_over,base__none->dpo__none,0.1880723536014557
16,first_gen,v_over,base__none->final__none,0.19472292065620422
16,first_gen,v_over,sft__none->dpo__none,0.9340903759002686
16,first_gen,v_over,sft__none->final__none,0.9283614754676819
16,first_gen,v_over,dpo__none->final__none,0.9969907999038696
19,pre_gen,harmless,base__none->sft__none,0.5777292251586914
