checkpoint,layer,pos,source,grp,n,t,off_axis,t_lo,t_hi,off_lo,off_hi
base__none,8,first_gen,xstest,pseudo_acc,236,-0.21017098231254439,1.2940060795790533,-0.24395805602487397,-0.14365975166946213,1.2010709250801028,1.3990807968532422
base__none,8,first_gen,xstest,pseudo_ref,80,-0.1555707469678051,1.5342388169161394,-0.19712935792127154,-0.08771829803029818,1.407823564622882,1.6900739879815396
base__none,19,last_prompt,all,pseudo_all,1114,-0.21842410432806555,1.1647491805781618,-0.2558894516329548,-0.16746256949227933,1.0901863299040255,1.2581139813097062
base__none,19,last_prompt,all,pseudo_acc,888,-0.2188604531391792,1.16932019826139,-0.26265973876397636,-0.1641379158218039,1.0885385189534247,1.2598840472870894
base__none,19,last_prompt,all,pseudo_ref,226,-0.21670963214356567,1.1760684508244141,-0.26317046685675294,-0.16103099552861294,1.0919401847571697,1.2804936115917103
base__none,19,last_prompt,false_reject,pseudo_acc,328,-0.17804324942942534,1.4046580100072363,-0.2278854406772943,-0.10689343455101107,1.3164267945912478,1.4978882236774016
base__none,19,last_prompt,false_reject,pseudo_ref,80,-0.19635316085218066,1.3799099226934113,-0.26733846627731445,-0.1154183293158701,1.2864836505019615,1.4960907225993076
base__none,19,last_prompt,or_bench,pseudo_acc,324,-0.22308065642653227,1.3578887877842616,-0.26652599306235036,-0.1682735395639679,1.2686782794728197,1.4734538475132881
base__none,19,last_prompt,or_bench,pseudo_ref,66,-0.17422776916954913,1.2449419605554986,-0.243653260730376,-0.09075322353628928,1.1498737351327464,1.3898212280492268
base__none,19,last_prompt,xstest,pseudo_acc,236,-0.2697955927740857,1.4226215303211567,-0.3230685696493985,-0.2028001616101863,1.3444304754216685,1.527595765890132
base__none,19,last_prompt,xstest,pseudo_ref,80,-0.2721136337444769,1.5680060586762554,-0.32944494140061326,-0.20238599238321456,1.478359391219472,1.6922255198625618
base__none,19,first_gen,all,pseudo_all,1114,0.55375590946622,1.4149622383050702,0.4482929004122132,0.6493312129017715,1.317457105059537,1.4760102001173496
base__none,19,first_gen,all,pseudo_acc,888,0.5467061075985902,1.4564264681585561,0.4424561018958673,0.6469446389364605,1.3501110764179245,1.5228972249062083
base__none,19,first_gen,all,pseudo_ref,226,0.5814560684266311,1.3364635785283319,0.47816467602349316,0.6797823154447765,1.2341405385787212,1.443896745210307
base__none,19,first_gen,false_reject,pseudo_acc,328,0.6732403156077118,1.9956659872396887,0.5148917118782897,0.8097497931565012,1.876964420196214,2.0665439729775033
base__none,19,first_gen,false_reject,pseudo_ref,80,0.6859261640813985,1.931420467405192,0.5299790860719177,0.8375697292417585,1.8276566937353567,2.038369041614113
base__none,19,first_gen,or_bench,pseudo_acc,324,0.745866115085996,2.117283213082175,0.580807134639111,0.898391134891321,1.9784580300494876,2.2084489960326117
base__none,19,first_gen,or_bench,pseudo_ref,66,0.8261893573366451,2.0561517470564112,0.6563083265420857,0.9788384343686103,1.907774446395144,2.275958990333026
base__none,19,first_gen,xstest,pseudo_acc,236,0.0974219541386928,1.5503274129462858,0.03900314225107933,0.1824016656833193,1.4099885244507753,1.682547472830187
base__none,19,first_gen,xstest,pseudo_ref,80,0.2750810174526858,1.8933204427765464,0.1869584599001282,0.3736770163136704,1.6929582640021992,2.1544530748163218
base__none,26,last_prompt,all,pseudo_all,1114,-0.14182720458086942,1.1677702870885243,-0.17895794738074453,-0.09228744511279532,1.0956239697415662,1.2404589271944861
base__none,26,last_prompt,all,pseudo_acc,888,-0.14650427844417113,1.1752312837550267,-0.1842601178677878,-0.09872033134834962,1.0975282575674863,1.259661399540962
base__none,26,last_prompt,all,pseudo_ref,226,-0.12345005935885697,1.170541711146507,-0.16719449981619733,-0.06673510059856726,1.095971171603502,1.2711677190431547
base__none,26,last_prompt,false_reject,pseudo_acc,328,-0.13250625075703196,1.470605765377474,-0.1850649536403565,-0.06475992182382243,1.3765839704395184,1.555080331908369
base__none,26,last_prompt,false_reject,pseudo_ref,80,-0.1494500902169522,1.436883304748143,-0.2243488412295755,-0.06431361925359229,1.3311383683209521,1.5496880249469462
base__none,26,last_prompt,or_bench,pseudo_acc,324,-0.18159029705192464,1.3997693873906036,-0.21661995876414433,-0.12763184983382214,1.3053704310462426,1.4949554571068164
base__none,26,last_prompt,or_bench,pseudo_ref,66,-0.13489914720143575,1.2971121387532998,-0.20073422022467266,-0.04628655071380455,1.1782401140807424,1.4550952127926848
base__none,26,last_prompt,xstest,pseudo_acc,236,-0.11779021270580937,1.394125896339535,-0.16918379686811313,-0.05420701617251049,1.3133628985272152,1.4846375363724
base__none,26,last_prompt,xstest,pseudo_ref,80,-0.0880045325805352,1.5543782429399349,-0.13893210332628567,-0.02918354606096907,1.4515771472983738,1.6704779297683057
base__none,26,first_gen,all,pseudo_all,1114,0.6710629515376749,1.25705892597018,0.5777465221907964,0.7429527282776341,1.170685233082269,1.3149319405656448
base__none,26,first_gen,all,pseudo_acc,888,0.6595668704859908,1.2939021680947889,0.5554424734223662,0.7307991491826623,1.2074314982285916,1.341648929111474
base__none,26,first_gen,all,pseudo_ref,226,0.7162333595626882,1.2204953730187085,0.614538323678425,0.7923857097924804,1.141727147221846,1.3278178188408243
base__none,26,first_gen,false_reject,pseudo_acc,328,0.7595994507917808,1.7796475114461388,0.6114345346296426,0.8669374031156953,1.6678640947104153,1.8585948581863814
base__none,26,first_gen,false_reject,pseudo_ref,80,0.7831002616592476,1.738381413233925,0.6210229781819354,0.9145451503270268,1.6590976575118115,1.8732803730097514
base__none,26,first_gen,or_bench,pseudo_acc,324,0.8033288927854522,1.9436485230161138,0.6481854293900882,0.9241036078623306,1.8135283907845832,2.0069582614104093
base__none,26,first_gen,or_bench,pseudo_ref,66,0.8931024850086602,1.9210986368115783,0.7264539959073308,1.0067088386625356,1.777475233303087,2.1164149838240323
base__none,26,first_gen,xstest,pseudo_acc,236,0.32317032434148346,1.6030019206766097,0.23598888411685978,0.43020722482687673,1.4412252853568948,1.7570253596170962
base__none,26,first_gen,xstest,pseudo_ref,80,0.503449454361145,2.033947486696389,0.35889935791129607,0.6402121885042564,1.7802328061699517,2.320291258968983
base__none,31,last_prompt,all,pseudo_all,1114,-0.19467104477240063,0.9309006038034956,-0.23251740038225524,-0.15169245572036597,0.8555483944281024,1.0161695086342115
base__none,31,last_prompt,all,pseudo_acc,888,-0.1997866087522122,0.9433012266166859,-0.24119995019702692,-0.1593101401436936,0.8661958095151837,1.0192280622738699
base__none,31,last_prompt,all,pseudo_ref,226,-0.17457102114586734,0.9056694667044769,-0.22820636086930185,-0.12469141195198596,0.8270148972713748,0.9922913281174346
base__none,31,last_prompt,false_reject,pseudo_acc,328,-0.16374465886421574,1.1586785713090781,-0.2185353611356442,-0.10167835698639763,1.0640876062690832,1.2511962198525837
base__none,31,last_prompt,false_reject,pseudo_ref,80,-0.19125216211388363,1.1317697098805344,-0.25280331238504233,-0.11638713648574332,1.0468735085644125,1.250705054615854
base__none,31,last_prompt,or_bench,pseudo_acc,324,-0.29265391048964395,1.1681321133001095,-0.3367082777274193,-0.2452729432305495,1.0741322174408003,1.2673141131044865
base__none,31,last_prompt,or_bench,pseudo_ref,66,-0.24758515053522817,1.0652519175316704,-0.31740478855865784,-0.16562444928670544,0.9514129121994935,1.2137713864812862
base__none,31,last_prompt,xstest,pseudo_acc,236,-0.12238297733704592,1.0427422910765733,-0.17283750434984826,-0.07516225315632175,0.9756419087907726,1.1230812223657
base__none,31,last_prompt,xstest,pseudo_ref,80,-0.09765321853766326,1.1215554024894252,-0.1453913995310876,-0.053290956614003224,1.0370710097343527,1.2041042196184446
base__none,31,first_gen,all,pseudo_all,1114,0.8691661858816656,1.1916274802648956,0.7592108079328298,0.9385118639755609,1.0999494456812906,1.283116958853794
base__none,31,first_gen,all,pseudo_acc,888,0.8490615232456138,1.2412863207995393,0.7261074215797162,0.9350097011963379,1.1389082998819782,1.3310739263202047
base__none,31,first_gen,all,pseudo_ref,226,0.9481613049723658,1.1121896594419134,0.8299011975413249,1.0268983507835583,1.0255446441868201,1.2527653347355947
