checkpoint,position,layer,n,rate,cluster_reads_harmful_rate,refusal_rate
base__none,first_gen,8,993,0.162134944612286,0.07955689828801611,0.1822759315206445
dpo__none,first_gen,8,1450,0.09379310344827586,0.3524137931034483,0.41586206896551725
final__none,first_gen,8,1450,0.09172413793103448,0.3627586206896552,0.42482758620689653
sft__none,first_gen,8,1442,0.1289875173370319,0.3654646324549237,0.49029126213592233
base__none,first_gen,16,993,0.1309164149043303,0.31017119838872104,0.1822759315206445
dpo__none,first_gen,16,1450,0.09793103448275862,0.3448275862068966,0.41586206896551725
final__none,first_gen,16,1450,0.09517241379310344,0.35586206896551725,0.42482758620689653
sft__none,first_gen,16,1442,0.1289875173370319,0.3654646324549237,0.49029126213592233
base__none,first_gen,19,993,0.12084592145015106,0.38469284994964753,0.1822759315206445
dpo__none,first_gen,19,1450,0.09862068965517241,0.34413793103448276,0.41586206896551725
final__none,first_gen,19,1450,0.09586206896551724,0.35517241379310344,0.42482758620689653
sft__none,first_gen,19,1442,0.1289875173370319,0.3654646324549237,0.49029126213592233
base__none,first_gen,24,993,0.10876132930513595,0.4773413897280967,0.1822759315206445
dpo__none,first_gen,24,1450,0.1,0.3413793103448276,0.41586206896551725
final__none,first_gen,24,1450,0.09724137931034482,0.3510344827586207,0.42482758620689653
sft__none,first_gen,24,1442,0.1289875173370319,0.3654646324549237,0.49029126213592233
base__none,first_gen,26,993,0.1067472306143001,0.47230614300100704,0.1822759315206445
dpo__none,first_gen,26,1450,0.1,0.3413793103448276,0.41586206896551725
final__none,first_gen,26,1450,0.09793103448275862,0.3510344827586207,0.42482758620689653
sft__none,first_gen,26,1442,0.1289875173370319,0.3654646324549237,0.49029126213592233
base__none,first_gen,31,993,0.1148036253776435,0.3987915407854985,0.1822759315206445
dpo__none,first_gen,31,1450,0.1,0.34344827586206894,0.41586206896551725
final__none,first_gen,31,1450,0.09655172413793103,0.35517241379310344,0.42482758620689653
sft__none,first_gen,31,1442,0.1289875173370319,0.3654646324549237,0.49029126213592233
base__none,last_prompt,8,993,0.1691842900302115,0.04632426988922457,0.1822759315206445
dpo__none,last_prompt,8,1450,0.2696551724137931,0.15931034482758621,0.41586206896551725
final__none,last_prompt,8,1450,0.2793103448275862,0.15931034482758621,0.42482758620689653
sft__none,last_prompt,8,1442,0.3418862690707351,0.16296809986130376,0.49029126213592233
base__none,last_prompt,16,993,0.1691842900302115,0.0433031218529708,0.1822759315206445
dpo__none,last_prompt,16,1450,0.1917241379310345,0.24482758620689654,0.41586206896551725
final__none,last_prompt,16,1450,0.20413793103448277,0.2386206896551724,0.42482758620689653
sft__none,last_prompt,16,1442,0.2787794729542302,0.2260748959778086,0.49029126213592233
base__none,last_prompt,19,993,0.1732124874118832,0.026183282980866064,0.1822759315206445
dpo__none,last_prompt,19,1450,0.2731034482758621,0.15655172413793103,0.41586206896551725
final__none,last_prompt,19,1450,0.28206896551724137,0.15655172413793103,0.42482758620689653
sft__none,last_prompt,19,1442,0.3814147018030513,0.11650485436893204,0.49029126213592233
base__none,last_prompt,24,993,0.1732124874118832,0.026183282980866064,0.1822759315206445
dpo__none,last_prompt,24,1450,0.3662068965517241,0.05655172413793103,0.41586206896551725
final__none,last_prompt,24,1450,0.37517241379310345,0.05586206896551724,0.42482758620689653
sft__none,last_prompt,24,1442,0.4576976421636616,0.03744798890429958,0.49029126213592233
base__none,last_prompt,26,993,0.1732124874118832,0.026183282980866064,0.1822759315206445
dpo__none,last_prompt,26,1450,0.37655172413793103,0.04482758620689655,0.41586206896551725
final__none,last_prompt,26,1450,0.38620689655172413,0.04482758620689655,0.42482758620689653
sft__none,last_prompt,26,1442,0.47018030513176146,0.024965325936199722,0.49029126213592233
base__none,last_prompt,31,993,0.1732124874118832,0.026183282980866064,0.1822759315206445
dpo__none,last_prompt,31,1450,0.4013793103448276,0.02,0.41586206896551725
final__none,last_prompt,31,1450,0.4110344827586207,0.02,0.42482758620689653
sft__none,last_prompt,31,1442,0.4750346740638003,0.02011095700416089,0.49029126213592233
dpo__none,post_instr_0,8,1450,0.23379310344827586,0.21517241379310345,0.41586206896551725
final__none,post_instr_0,8,1450,0.23655172413793105,0.22344827586206897,0.42482758620689653
sft__none,post_instr_0,8,1442,0.30235783633841884,0.21497919556171982,0.49029126213592233
dpo__none,post_instr_0,16,1450,0.12620689655172415,0.32275862068965516,0.41586206896551725
final__none,post_instr_0,16,1450,0.13310344827586207,0.3193103448275862,0.42482758620689653
sft__none,post_instr_0,16,1442,0.19625520110957004,0.3210818307905687,0.49029126213592233
dpo__none,post_instr_0,19,1450,0.13517241379310344,0.31517241379310346,0.41586206896551725
final__none,post_instr_0,19,1450,0.14344827586206896,0.3103448275862069,0.42482758620689653
sft__none,post_instr_0,19,1442,0.21705963938973646,0.29958391123439665,0.49029126213592233
dpo__none,post_instr_0,24,1450,0.1413793103448276,0.32827586206896553,0.41586206896551725
final__none,post_instr_0,24,1450,0.14413793103448275,0.3289655172413793,0.42482758620689653
sft__none,post_instr_0,24,1442,0.23370319001386963,0.2857142857142857,0.49029126213592233
dpo__none,post_instr_0,26,1450,0.14206896551724138,0.3372413793103448,0.41586206896551725
final__none,post_instr_0,26,1450,0.14275862068965517,0.34620689655172415,0.42482758620689653
sft__none,post_instr_0,26,1442,0.23509015256588073,0.29056865464632453,0.49029126213592233
dpo__none,post_instr_0,31,1450,0.16551724137931034,0.32,0.41586206896551725
final__none,post_instr_0,31,1450,0.16482758620689655,0.32689655172413795,0.42482758620689653
sft__none,post_instr_0,31,1442,0.27184466019417475,0.25728155339805825,0.49029126213592233
