checkpoint,position,layer,dist_pseudo_to_harmful,dist_pseudo_to_harmless,dist_harmful_to_harmless,pseudo_closer_to_harmless_ratio,cos_pseudo_harmless
base__none,last_prompt,8,3.5081593990325928,2.8016793727874756,2.040442943572998,0.798618037013958,-0.025746334344148636
base__none,last_prompt,16,8.302803993225098,6.763592720031738,4.559407711029053,0.8146154871957327,-0.03894830867648125
base__none,last_prompt,19,12.180381774902344,9.926128387451172,6.6008734703063965,0.8149275261555383,-0.047787100076675415
base__none,last_prompt,24,19.976036071777344,15.94298267364502,10.220786094665527,0.798105420733079,-0.12396101653575897
base__none,last_prompt,26,22.198198318481445,17.49591064453125,11.759528160095215,0.7881680483034862,-0.11754105985164642
base__none,last_prompt,31,41.64142990112305,26.551198959350586,25.705476760864258,0.6376149671708203,-0.26979121565818787
base__none,first_gen,8,3.324645519256592,2.9845476150512695,1.563079833984375,0.8977040101762879,0.03188306465744972
base__none,first_gen,16,5.79034423828125,5.310828685760498,3.1875298023223877,0.9171870388377658,0.14287079870700836
base__none,first_gen,19,8.06219482421875,7.6813225746154785,4.257898807525635,0.9527582428969422,0.1854906678199768
base__none,first_gen,24,11.371271133422852,11.133138656616211,6.039065837860107,0.97905841185101,0.23136645555496216
base__none,first_gen,26,12.591021537780762,12.421791076660156,6.689579486846924,0.9865594335921982,0.24379806220531464
base__none,first_gen,31,22.656551361083984,20.61546516418457,15.443400382995605,0.9099118765089164,0.2358502894639969
dpo__none,last_prompt,8,2.5594165325164795,2.08754301071167,1.832923173904419,0.8156323850339232,0.1524748057126999
dpo__none,last_prompt,16,5.684729099273682,4.794095993041992,4.3402628898620605,0.8433288393029172,0.22840406000614166
dpo__none,last_prompt,19,8.83872127532959,6.788121700286865,6.422486782073975,0.7679981627244763,0.1055581197142601
dpo__none,last_prompt,24,15.535988807678223,11.762713432312012,9.424359321594238,0.7571267962357583,-0.06398817896842957
dpo__none,last_prompt,26,17.929128646850586,13.473726272583008,10.802326202392578,0.7514992244171214,-0.07977507263422012
dpo__none,last_prompt,31,41.51423263549805,24.08518409729004,26.771665573120117,0.5801669106776467,-0.330810546875
dpo__none,post_instr_0,8,2.5535266399383545,2.113412380218506,2.149510383605957,0.8276445395805726,0.28246989846229553
dpo__none,post_instr_0,16,5.622314453125,4.534831523895264,6.081631660461426,0.8065773555896912,0.4702919125556946
dpo__none,post_instr_0,19,7.07105827331543,5.4678544998168945,7.439103126525879,0.7732724421818636,0.4331531822681427
dpo__none,post_instr_0,24,10.03439712524414,7.5507073402404785,10.246063232421875,0.7524824108510423,0.396211713552475
dpo__none,post_instr_0,26,11.004703521728516,8.237655639648438,11.326056480407715,0.748557707473299,0.4021163284778595
dpo__none,post_instr_0,31,20.0356388092041,14.007491111755371,20.65810775756836,0.6991287497816401,0.3828001320362091
dpo__none,first_gen,8,2.583066463470459,1.6456135511398315,3.3928916454315186,0.6370775101655264,0.675891101360321
dpo__none,first_gen,16,7.065469264984131,4.2507805824279785,9.221670150756836,0.6016274960666078,0.6784239411354065
dpo__none,first_gen,19,11.019085884094238,6.023471832275391,14.393634796142578,0.5466398842548377,0.7038014531135559
dpo__none,first_gen,24,19.379899978637695,9.617598533630371,25.735610961914062,0.49626667548500103,0.766094446182251
dpo__none,first_gen,26,22.334917068481445,10.865181922912598,29.642946243286133,0.4864661860887457,0.7729665040969849
dpo__none,first_gen,31,38.20795440673828,19.740434646606445,52.11383819580078,0.5166577209672617,0.7998487949371338
final__none,last_prompt,8,2.544797897338867,2.070934534072876,1.8221169710159302,0.8137913569633498,0.1501111090183258
final__none,last_prompt,16,5.669382572174072,4.773022174835205,4.309268951416016,0.8418945297961901,0.22388024628162384
final__none,last_prompt,19,8.808599472045898,6.762343883514404,6.385303020477295,0.7676979643557085,0.10317336022853851
final__none,last_prompt,24,15.427821159362793,11.67435073852539,9.334152221679688,0.7567076788053441,-0.06699452549219131
final__none,last_prompt,26,17.775161743164062,13.344165802001953,10.686201095581055,0.7507197962422945,-0.08308206498622894
final__none,last_prompt,31,41.377410888671875,23.97856903076172,26.687849044799805,0.579508686400832,-0.33196818828582764
final__none,post_instr_0,8,2.5240046977996826,2.100350856781006,2.1300528049468994,0.8321501376808056,0.2881179749965668
final__none,post_instr_0,16,5.5837812423706055,4.498776435852051,6.009233474731445,0.80568636925004,0.46554479002952576
final__none,post_instr_0,19,7.026081562042236,5.454497337341309,7.3550214767456055,0.7763213804418002,0.42975857853889465
final__none,post_instr_0,24,9.878721237182617,7.516952037811279,10.1061429977417,0.7609235909520504,0.4018142819404602
final__none,post_instr_0,26,10.791305541992188,8.198725700378418,11.155390739440918,0.7597529018592544,0.41116100549697876
final__none,post_instr_0,31,19.736026763916016,14.005537986755371,20.362533569335938,0.7096432404703731,0.3879491984844208
final__none,first_gen,8,2.5103797912597656,1.6386191844940186,3.370572805404663,0.6527375619414632,0.7010417580604553
final__none,first_gen,16,6.918328285217285,4.263641357421875,9.109657287597656,0.6162820238716045,0.6861587166786194
final__none,first_gen,19,10.90542221069336,6.149564266204834,14.277115821838379,0.5638996957105293,0.6989046335220337
final__none,first_gen,24,19.35424041748047,9.93301773071289,25.615020751953125,0.5132217806771447,0.7471620440483093
final__none,first_gen,26,22.26030921936035,11.235508918762207,29.478713989257812,0.5047328322371372,0.7543740272521973
final__none,first_gen,31,38.235992431640625,20.518030166625977,52.16469192504883,0.5366156038269095,0.7848860621452332
sft__none,last_prompt,8,2.569448471069336,2.1059792041778564,1.8375585079193115,0.8196230544765134,0.15629816055297852
sft__none,last_prompt,16,5.713905334472656,4.794728755950928,4.208467960357666,0.8391333904367948,0.19951742887496948
sft__none,last_prompt,19,8.941021919250488,6.864224910736084,6.223771572113037,0.7677226353686762,0.06918124109506607
sft__none,last_prompt,24,15.78461742401123,12.052112579345703,9.192667007446289,0.7635352986770703,-0.0875324010848999
sft__none,last_prompt,26,18.26905059814453,13.848285675048828,10.553718566894531,0.7580189020033317,-0.10469405353069305
sft__none,last_prompt,31,41.20430374145508,23.58725357055664,26.6328067779541,0.572446357025221,-0.34394571185112
sft__none,post_instr_0,8,2.5822675228118896,2.1419334411621094,2.170395851135254,0.8294777447495871,0.28290823101997375
sft__none,post_instr_0,16,5.3930230140686035,4.364236354827881,5.627267360687256,0.8092374802486545,0.440332293510437
sft__none,post_instr_0,19,6.8431010246276855,5.231396198272705,6.95706033706665,0.764477417393868,0.3975828289985657
sft__none,post_instr_0,24,10.12978744506836,7.329171180725098,9.862354278564453,0.7235266505313762,0.334589421749115
sft__none,post_instr_0,26,11.176231384277344,7.979747772216797,10.912924766540527,0.7139927134510349,0.3322151005268097
sft__none,post_instr_0,31,20.021148681640625,13.41925048828125,19.326156616210938,0.6702537752285257,0.2944566011428833
sft__none,first_gen,8,2.5707924365997314,1.759042501449585,3.1707653999328613,0.6842413554694401,0.5861942768096924
sft__none,first_gen,16,6.979482173919678,4.518152713775635,8.687470436096191,0.6473478405974981,0.6009054780006409
sft__none,first_gen,19,10.288043975830078,6.23651123046875,13.3850736618042,0.6061901800886854,0.6721104383468628
sft__none,first_gen,24,18.439884185791016,10.16382122039795,24.66500473022461,0.5511868251444743,0.7412247061729431
sft__none,first_gen,26,21.135154724121094,11.439624786376953,28.244945526123047,0.5412605176398901,0.7457906007766724
sft__none,first_gen,31,35.8403205871582,20.926855087280273,48.66770553588867,0.5838914034373478,0.7471806406974792
