checkpoint,position,layer,group,n,divergence_rate
final__none,first_gen,8,harmless,2215,0.16884875846501124
final__none,first_gen,8,pseudo_harm,1450,0.36275862068965514
final__none,first_gen,16,harmful,2155,0.16798143851508118
final__none,first_gen,16,harmless,2215,0.1471783295711061
final__none,first_gen,16,pseudo_harm,1450,0.3558620689655172
final__none,first_gen,19,harmful,2155,0.168445475638051
final__none,first_gen,19,harmless,2215,0.1426636568848758
final__none,first_gen,19,pseudo_harm,1450,0.3551724137931035
final__none,first_gen,24,harmful,2155,0.16937354988399067
final__none,first_gen,24,harmless,2215,0.13498871331828444
final__none,first_gen,24,pseudo_harm,1450,0.3510344827586207
final__none,first_gen,26,harmful,2155,0.16937354988399067
final__none,first_gen,26,harmless,2215,0.13453724604966144
final__none,first_gen,26,pseudo_harm,1450,0.3510344827586207
final__none,first_gen,31,harmful,2155,0.16798143851508118
final__none,first_gen,31,harmless,2215,0.1507900677200903
final__none,first_gen,31,pseudo_harm,1450,0.3551724137931035
final__none,last_prompt,8,harmful,2155,0.37308584686774937
final__none,last_prompt,8,harmless,2215,0.1851015801354402
final__none,last_prompt,8,pseudo_harm,1450,0.15931034482758621
final__none,last_prompt,16,harmful,2155,0.29234338747099764
final__none,last_prompt,16,harmless,2215,0.1869074492099323
final__none,last_prompt,16,pseudo_harm,1450,0.23862068965517247
final__none,last_prompt,19,harmful,2155,0.35545243619489564
final__none,last_prompt,19,harmless,2215,0.20496613995485324
final__none,last_prompt,19,pseudo_harm,1450,0.15655172413793106
final__none,last_prompt,24,harmful,2155,0.43433874709976794
final__none,last_prompt,24,harmless,2215,0.21038374717832953
final__none,last_prompt,24,pseudo_harm,1450,0.055862068965517264
final__none,last_prompt,26,harmful,2155,0.4519721577726218
final__none,last_prompt,26,harmless,2215,0.20045146726862306
final__none,last_prompt,26,pseudo_harm,1450,0.04482758620689653
final__none,last_prompt,31,harmful,2155,0.4672853828306265
final__none,last_prompt,31,harmless,2215,0.20632054176072234
final__none,last_prompt,31,pseudo_harm,1450,0.020000000000000018
final__none,post_instr_0,8,harmful,2155,0.37308584686774937
final__none,post_instr_0,8,harmless,2215,0.09300225733634315
final__none,post_instr_0,8,pseudo_harm,1450,0.22344827586206895
final__none,post_instr_0,16,harmful,2155,0.23944315545243622
final__none,post_instr_0,16,harmless,2215,0.09119638826185106
final__none,post_instr_0,16,pseudo_harm,1450,0.31931034482758625
final__none,post_instr_0,19,harmful,2155,0.22273781902552203
final__none,post_instr_0,19,harmless,2215,0.10293453724604962
final__none,post_instr_0,19,pseudo_harm,1450,0.31034482758620685
final__none,post_instr_0,24,harmful,2155,0.2129930394431555
final__none,post_instr_0,24,harmless,2215,0.1512415349887133
final__none,post_instr_0,24,pseudo_harm,1450,0.32896551724137935
final__none,post_instr_0,26,harmful,2155,0.21670533642691414
final__none,post_instr_0,26,harmless,2215,0.16749435665914225
final__none,post_instr_0,26,pseudo_harm,1450,0.3462068965517241
final__none,post_instr_0,31,harmful,2155,0.28631090487238975
final__none,post_instr_0,31,harmless,2215,0.17291196388261854
final__none,post_instr_0,31,pseudo_harm,1450,0.3268965517241379
sft__none,first_gen,8,harmful,2148,0.18482309124767227
sft__none,first_gen,8,harmless,2191,0.16202647193062525
sft__none,first_gen,8,pseudo_harm,1442,0.36546463245492367
sft__none,first_gen,16,harmful,2148,0.18342644320297952
sft__none,first_gen,16,harmless,2191,0.15015974440894564
sft__none,first_gen,16,pseudo_harm,1442,0.36546463245492367
sft__none,first_gen,19,harmful,2148,0.18296089385474856
sft__none,first_gen,19,harmless,2191,0.14970333181195805
sft__none,first_gen,19,pseudo_harm,1442,0.36546463245492367
sft__none,first_gen,24,harmful,2148,0.1871508379888268
sft__none,first_gen,24,harmless,2191,0.1410314924691921
sft__none,first_gen,24,pseudo_harm,1442,0.36546463245492367
sft__none,first_gen,26,harmful,2148,0.1871508379888268
sft__none,first_gen,26,harmless,2191,0.1419443176631675
sft__none,first_gen,26,pseudo_harm,1442,0.36546463245492367
sft__none,first_gen,31,harmful,2148,0.18482309124767227
sft__none,first_gen,31,harmless,2191,0.16248288452761295
sft__none,first_gen,31,pseudo_harm,1442,0.36546463245492367
sft__none,last_prompt,8,harmful,2148,0.3682495344506518
sft__none,last_prompt,8,harmless,2191,0.18484710178000918
sft__none,last_prompt,8,pseudo_harm,1442,0.16296809986130378
sft__none,last_prompt,16,harmful,2148,0.30772811918063314
sft__none,last_prompt,16,harmless,2191,0.193518941122775
sft__none,last_prompt,16,pseudo_harm,1442,0.2260748959778086
sft__none,last_prompt,19,harmful,2148,0.37942271880819367
sft__none,last_prompt,19,harmless,2191,0.2094933820173437
sft__none,last_prompt,19,pseudo_harm,1442,0.11650485436893199
sft__none,last_prompt,24,harmful,2148,0.44320297951582865
sft__none,last_prompt,24,harmless,2191,0.2099497946143314
sft__none,last_prompt,24,pseudo_harm,1442,0.03744798890429957
sft__none,last_prompt,26,harmful,2148,0.4594972067039106
sft__none,last_prompt,26,harmless,2191,0.20036513007759016
sft__none,last_prompt,26,pseudo_harm,1442,0.02496532593619971
sft__none,last_prompt,31,harmful,2148,0.4650837988826816
sft__none,last_prompt,31,harmless,2191,0.2085805568233683
sft__none,last_prompt,31,pseudo_harm,1442,0.02011095700416088
sft__none,post_instr_0,8,harmful,2148,0.3743016759776536
sft__none,post_instr_0,8,harmless,2191,0.08900045641259702
sft__none,post_instr_0,8,pseudo_harm,1442,0.21497919556171985
sft__none,post_instr_0,16,harmful,2148,0.24022346368715086
sft__none,post_instr_0,16,harmless,2191,0.08626198083067094
sft__none,post_instr_0,16,pseudo_harm,1442,0.3210818307905686
sft__none,post_instr_0,19,harmful,2148,0.22625698324022347
sft__none,post_instr_0,19,harmless,2191,0.10771337288909177
sft__none,post_instr_0,19,pseudo_harm,1442,0.29958391123439665
sft__none,post_instr_0,24,harmful,2148,0.23277467411545627
sft__none,post_instr_0,24,harmless,2191,0.1547238703788224
sft__none,post_instr_0,24,pseudo_harm,1442,0.2857142857142857
sft__none,post_instr_0,26,harmful,2148,0.23789571694599632
sft__none,post_instr_0,26,harmless,2191,0.16476494751255133
sft__none,post_instr_0,26,pseudo_harm,1442,0.29056865464632453
sft__none,post_instr_0,31,harmful,2148,0.3147113594040968
sft__none,post_instr_0,31,harmless,2191,0.1560931081697855
sft__none,post_instr_0,31,pseudo_harm,1442,0.25728155339805825
