checkpoint,position,layer,group,n,divergence_rate
base__none,first_gen,8,harmful,1688,0.3353080568720379
base__none,first_gen,8,harmless,1302,0.21889400921658986
base__none,first_gen,8,pseudo_harm,993,0.07955689828801615
base__none,first_gen,16,harmful,1688,0.30983412322274884
base__none,first_gen,16,harmless,1302,0.15437788018433185
base__none,first_gen,16,pseudo_harm,993,0.3101711983887211
base__none,first_gen,19,harmful,1688,0.2731042654028436
base__none,first_gen,19,harmless,1302,0.1751152073732719
base__none,first_gen,19,pseudo_harm,993,0.3846928499496476
base__none,first_gen,24,harmful,1688,0.24348341232227488
base__none,first_gen,24,harmless,1302,0.2073732718894009
base__none,first_gen,24,pseudo_harm,993,0.4773413897280967
base__none,first_gen,26,harmful,1688,0.23696682464454977
base__none,first_gen,26,harmless,1302,0.20967741935483875
base__none,first_gen,26,pseudo_harm,993,0.47230614300100704
base__none,first_gen,31,harmful,1688,0.37263033175355453
base__none,first_gen,31,harmless,1302,0.20660522273425497
base__none,first_gen,31,pseudo_harm,993,0.3987915407854985
base__none,last_prompt,8,harmful,1688,0.4609004739336493
base__none,last_prompt,8,harmless,1302,0.19354838709677424
base__none,last_prompt,8,pseudo_harm,993,0.046324269889224556
base__none,last_prompt,16,harmful,1688,0.44253554502369663
base__none,last_prompt,16,harmless,1302,0.18817204301075274
base__none,last_prompt,16,pseudo_harm,993,0.043303121852970805
base__none,last_prompt,19,harmful,1688,0.43246445497630337
base__none,last_prompt,19,harmless,1302,0.1751152073732719
base__none,last_prompt,19,pseudo_harm,993,0.02618328298086603
base__none,last_prompt,24,harmful,1688,0.44964454976303314
base__none,last_prompt,24,harmless,1302,0.16282642089093702
base__none,last_prompt,24,pseudo_harm,993,0.02618328298086603
base__none,last_prompt,26,harmful,1688,0.45793838862559244
base__none,last_prompt,26,harmless,1302,0.1536098310291859
base__none,last_prompt,26,pseudo_harm,993,0.02618328298086603
base__none,last_prompt,31,harmful,1688,0.4206161137440758
base__none,last_prompt,31,harmless,1302,0.22273425499231947
base__none,last_prompt,31,pseudo_harm,993,0.02618328298086603
dpo__none,first_gen,8,harmful,2156,0.16419294990723565
dpo__none,first_gen,8,harmless,2207,0.16447666515632076
dpo__none,first_gen,8,pseudo_harm,1450,0.3524137931034482
dpo__none,first_gen,16,harmful,2156,0.16604823747680886
dpo__none,first_gen,16,harmless,2207,0.14499320344358857
dpo__none,first_gen,16,pseudo_harm,1450,0.3448275862068966
dpo__none,first_gen,19,harmful,2156,0.16604823747680886
dpo__none,first_gen,19,harmless,2207,0.14136837335749886
dpo__none,first_gen,19,pseudo_harm,1450,0.34413793103448276
dpo__none,first_gen,24,harmful,2156,0.16790352504638217
dpo__none,first_gen,24,harmless,2207,0.13411871318531943
dpo__none,first_gen,24,pseudo_harm,1450,0.3413793103448276
dpo__none,first_gen,26,harmful,2156,0.16836734693877553
dpo__none,first_gen,26,harmless,2207,0.13411871318531943
dpo__none,first_gen,26,pseudo_harm,1450,0.3413793103448276
dpo__none,first_gen,31,harmful,2156,0.16604823747680886
dpo__none,first_gen,31,harmless,2207,0.14907113729043953
dpo__none,first_gen,31,pseudo_harm,1450,0.34344827586206894
dpo__none,last_prompt,8,harmful,2156,0.37430426716140996
dpo__none,last_prompt,8,harmless,2207,0.18486633439057543
dpo__none,last_prompt,8,pseudo_harm,1450,0.15931034482758621
dpo__none,last_prompt,16,harmful,2156,0.2884972170686456
dpo__none,last_prompt,16,harmless,2207,0.18622564567285904
dpo__none,last_prompt,16,pseudo_harm,1450,0.2448275862068966
dpo__none,last_prompt,19,harmful,2156,0.35482374768089053
dpo__none,last_prompt,19,harmless,2207,0.2043497961033076
dpo__none,last_prompt,19,pseudo_harm,1450,0.15655172413793106
dpo__none,last_prompt,24,harmful,2156,0.4346011131725418
dpo__none,last_prompt,24,harmless,2207,0.2066153149071137
dpo__none,last_prompt,24,pseudo_harm,1450,0.05655172413793108
dpo__none,last_prompt,26,harmful,2156,0.4522263450834879
dpo__none,last_prompt,26,harmless,2207,0.1961939284096058
dpo__none,last_prompt,26,pseudo_harm,1450,0.04482758620689653
dpo__none,last_prompt,31,harmful,2156,0.46567717996289426
dpo__none,last_prompt,31,harmless,2207,0.2066153149071137
dpo__none,last_prompt,31,pseudo_harm,1450,0.020000000000000018
dpo__none,post_instr_0,8,harmful,2156,0.3761595547309833
dpo__none,post_instr_0,8,harmless,2207,0.0933393747168102
dpo__none,post_instr_0,8,pseudo_harm,1450,0.21517241379310348
dpo__none,post_instr_0,16,harmful,2156,0.23283858998144713
dpo__none,post_instr_0,16,harmless,2207,0.0933393747168102
dpo__none,post_instr_0,16,pseudo_harm,1450,0.3227586206896552
dpo__none,post_instr_0,19,harmful,2156,0.22077922077922074
dpo__none,post_instr_0,19,harmless,2207,0.10421386497507934
dpo__none,post_instr_0,19,pseudo_harm,1450,0.31517241379310346
dpo__none,post_instr_0,24,harmful,2156,0.21150278293135438
dpo__none,post_instr_0,24,harmless,2207,0.15269596737652924
dpo__none,post_instr_0,24,pseudo_harm,1450,0.32827586206896553
dpo__none,post_instr_0,26,harmful,2156,0.21474953617810766
dpo__none,post_instr_0,26,harmless,2207,0.1694608065246942
dpo__none,post_instr_0,26,pseudo_harm,1450,0.3372413793103448
dpo__none,post_instr_0,31,harmful,2156,0.28432282003710574
dpo__none,post_instr_0,31,harmless,2207,0.1671952877208881
dpo__none,post_instr_0,31,pseudo_harm,1450,0.31999999999999995
final__none,first_gen,8,harmful,2155,0.16473317865429238
