checkpoint,n_total,n_safe,n_harmful,TP,TN,FP,FN,fp_rate,fn_rate,precision,recall,f1,refusal_rate
base__mistral_safety,943,471,472,134,358,113,338,0.2399,0.7161,0.5425,0.2839,0.3727,0.2619
base__none,943,471,472,75,378,93,397,0.1975,0.8411,0.4464,0.1589,0.2344,0.1782
dpo__mistral_safety,943,471,472,367,289,182,105,0.3864,0.2225,0.6685,0.7775,0.7189,0.5822
dpo__none,943,471,472,376,279,192,96,0.4076,0.2034,0.662,0.7966,0.7231,0.6023
final__mistral_safety,943,471,472,368,297,174,104,0.3694,0.2203,0.679,0.7797,0.7258,0.5748
final__none,943,471,472,377,276,195,95,0.414,0.2013,0.6591,0.7987,0.7222,0.6066
sft__mistral_safety,943,471,472,402,258,213,70,0.4522,0.1483,0.6537,0.8517,0.7397,0.6522
sft__none,943,471,472,408,229,242,64,0.5138,0.1356,0.6277,0.8644,0.7273,0.6893
