checkpoint,n_total,n_safe,n_harmful,TP,TN,FP,FN,fp_rate,fn_rate,precision,recall,f1,refusal_rate
base__none,1000,500,500,4,490,10,496,0.02,0.992,0.2857,0.008,0.0156,0.014
dpo__none,1000,500,500,330,458,42,170,0.084,0.34,0.8871,0.66,0.7569,0.372
final__none,1000,500,500,337,459,41,163,0.082,0.326,0.8915,0.674,0.7677,0.378
sft__none,1000,500,500,388,434,66,112,0.132,0.224,0.8546,0.776,0.8134,0.454
