checkpoint,n_total,n_safe,n_harmful,TP,TN,FP,FN,fp_rate,fn_rate,precision,recall,f1,refusal_rate
base__mistral_safety,2758,1721,1037,794,1153,568,243,0.33,0.2343,0.583,0.7657,0.6619,0.4938
base__none,5828,3671,2157,501,3442,229,1656,0.0624,0.7677,0.6863,0.2323,0.3471,0.1253
dpo__mistral_safety,5828,3671,2157,1620,3131,540,537,0.1471,0.249,0.75,0.751,0.7505,0.3706
dpo__none,5828,3671,2157,1598,3133,538,559,0.1466,0.2592,0.7481,0.7408,0.7445,0.3665
final__mistral_safety,5828,3671,2157,1650,3131,540,507,0.1471,0.235,0.7534,0.765,0.7591,0.3758
final__none,5828,3671,2157,1618,3124,547,539,0.149,0.2499,0.7473,0.7501,0.7487,0.3715
sft__mistral_safety,5828,3671,2157,1812,2808,863,345,0.2351,0.1599,0.6774,0.8401,0.75,0.459
sft__none,5828,3671,2157,1767,2815,856,390,0.2332,0.1808,0.6737,0.8192,0.7393,0.4501
