checkpoint,n_total,n_safe,n_harmful,TP,TN,FP,FN,fp_rate,fn_rate,precision,recall,f1,refusal_rate
base__mistral_safety,943,471,472,409,188,283,63,0.6008,0.1335,0.591,0.8665,0.7027,0.7338
base__none,943,471,472,176,354,117,296,0.2484,0.6271,0.6007,0.3729,0.4601,0.3107
dpo__mistral_safety,943,471,472,284,335,136,188,0.2887,0.3983,0.6762,0.6017,0.6368,0.4454
dpo__none,943,471,472,301,323,148,171,0.3142,0.3623,0.6704,0.6377,0.6536,0.4761
final__mistral_safety,943,471,472,289,331,140,183,0.2972,0.3877,0.6737,0.6123,0.6415,0.4549
final__none,943,471,472,302,326,145,170,0.3079,0.3602,0.6756,0.6398,0.6572,0.474
sft__mistral_safety,943,471,472,398,256,215,74,0.4565,0.1568,0.6493,0.8432,0.7336,0.6501
sft__none,943,471,472,392,256,215,80,0.4565,0.1695,0.6458,0.8305,0.7266,0.6437
