checkpoint,group,source,n,incoherent,refusal,refusal_lo,refusal_hi,mean_ga,pd_rate,keyword_refusal
base__none,pseudo_harm,or_bench,500.0,0.10599999999999998,0.10067114093959731,0.07609104013665985,0.13205656647284558,2.626398210290828,0.04697986577181208,0.044
base__none,pseudo_harm,false_reject,500.0,0.132,0.2488479262672811,0.21049408646215956,0.2916089571956381,2.334101382488479,0.14516129032258066,0.032
base__none,harmful,toxicchat,248.0,0.23790322580645162,0.42328042328042326,0.35505679396895773,0.49456071594591544,1.783068783068783,0.2751322751322751,0.25806451612903225
base__none,harmless,toxicchat,250.0,0.28800000000000003,0.16853932584269662,0.12068276465946448,0.23040081577537552,2.348314606741573,0.05056179775280899,0.096
sft__none,pseudo_harm,or_bench,500.0,0.006000000000000005,0.20925553319919518,0.17579027593905752,0.24718097884489018,2.3319919517102616,0.18309859154929578,0.176
sft__none,pseudo_harm,false_reject,500.0,0.0040000000000000036,0.6586345381526104,0.6159161136795647,0.6989242662331409,1.1726907630522088,0.606425702811245,0.452
sft__none,harmful,toxicchat,248.0,0.008064516129032251,0.6260162601626016,0.5640484954321757,0.6841087369902871,1.1585365853658536,0.5813008130081301,0.5282258064516129
sft__none,harmless,toxicchat,250.0,0.02400000000000002,0.11475409836065574,0.08059748874144335,0.160853502536857,2.5860655737704916,0.04918032786885246,0.036
dpo__none,pseudo_harm,or_bench,500.0,0.0,0.122,0.0961588543796491,0.15360535722971383,2.736,0.118,0.06
dpo__none,pseudo_harm,false_reject,500.0,0.0,0.614,0.57061231973477,0.655649267240184,1.636,0.562,0.192
dpo__none,harmful,toxicchat,248.0,0.0040322580645161255,0.6558704453441295,0.5946417794351467,0.7123248481098857,1.2793522267206479,0.611336032388664,0.5
dpo__none,harmless,toxicchat,250.0,0.03600000000000003,0.14107883817427386,0.10274473207982793,0.19067599380989014,2.6141078838174274,0.06224066390041494,0.052
final__none,pseudo_harm,or_bench,500.0,0.0,0.15,0.12137548023138253,0.1839617527402498,2.72,0.146,0.074
final__none,pseudo_harm,false_reject,500.0,0.0,0.604,0.5604950326399137,0.6459190467056583,1.628,0.562,0.216
