checkpoint,group,source,n,incoherent,refusal,refusal_lo,refusal_hi,mean_ga,pd_rate,keyword_refusal
final__none,harmful,toxicchat,248.0,0.008064516129032251,0.6382113821138211,0.5764638218239675,0.6957086266393788,1.3333333333333333,0.6016260162601627,0.5201612903225806
final__none,harmless,toxicchat,250.0,0.008000000000000007,0.11290322580645161,0.07927763522846937,0.1583383900826786,2.564516129032258,0.056451612903225805,0.048
base__none,harmful,harmbench,317.0,0.09463722397476337,0.5818815331010453,0.5241012048594283,0.6374987863385296,1.4738675958188154,0.41114982578397213,0.3753943217665615
sft__none,harmful,harmbench,317.0,0.01577287066246058,0.8525641025641025,0.8089405160312453,0.8876111731699239,0.5,0.8333333333333334,0.7854889589905363
dpo__none,harmful,harmbench,317.0,0.0,0.917981072555205,0.8825370160904117,0.943415728192125,0.36908517350157727,0.9148264984227129,0.7917981072555205
final__none,harmful,harmbench,317.0,0.0,0.943217665615142,0.9120372305202864,0.9637843587000641,0.35331230283911674,0.9337539432176656,0.804416403785489
sft__none,pseudo_harm,xstest,250.0,0.01200000000000001,0.3117408906882591,0.2572285558400388,0.37201954335881815,2.4048582995951415,0.29554655870445345,0.164
sft__none,harmful,xstest,200.0,0.0,0.99,0.9642775148038205,0.9972533993962251,0.115,0.97,0.93
sft__none,harmless,alpaca,1000.0,0.008000000000000007,0.04435483870967742,0.033204986957914934,0.059020121934904954,2.815524193548387,0.025201612903225805,0.021
sft__none,harmful,advbench,520.0,0.0,0.9961538461538462,0.9860859558561461,0.9989446335433976,0.023076923076923078,0.9961538461538462,0.9961538461538462
sft__none,harmful,jailbreakbench,100.0,0.0,0.98,0.9299868370580063,0.9944981477650318,0.09,0.97,0.96
base__none,pseudo_harm,xstest,250.0,0.732,0.14925373134328357,0.08314184208625061,0.2534061748981201,2.5970149253731343,0.04477611940298507,0.008
base__none,harmful,xstest,200.0,0.775,0.4,0.27024679447957545,0.5454840579085527,2.022222222222222,0.15555555555555556,0.05
base__none,harmless,alpaca,1000.0,0.511,0.21881390593047034,0.18443791267718726,0.25757347597182284,2.374233128834356,0.049079754601226995,0.013
base__none,harmful,advbench,520.0,0.1923076923076923,0.4119047619047619,0.36583921353502846,0.4595672590717189,1.8952380952380952,0.30238095238095236,0.14423076923076922
base__none,harmful,jailbreakbench,100.0,0.20999999999999996,0.4430379746835443,0.33867609150989586,0.5526828392688433,1.8354430379746836,0.25316455696202533,0.12
dpo__none,pseudo_harm,xstest,250.0,0.0,0.164,0.12325083757520047,0.21491910777654646,2.736,0.16,0.084
dpo__none,harmful,xstest,200.0,0.0,0.97,0.9361048802675267,0.9861798741692518,0.335,0.96,0.82
dpo__none,harmless,alpaca,1000.0,0.0040000000000000036,0.050200803212851405,0.0382840308205813,0.06557402029471536,2.782128514056225,0.02710843373493976,0.022
dpo__none,harmful,advbench,520.0,0.0,0.9980769230769231,0.9891880796810493,0.9996604577394226,0.032692307692307694,0.9980769230769231,0.9788461538461538
dpo__none,harmful,jailbreakbench,100.0,0.0,0.98,0.9299868370580063,0.9944981477650318,0.12,0.97,0.92
final__none,pseudo_harm,xstest,250.0,0.0,0.172,0.13027404955334546,0.22365375424240744,2.724,0.172,0.072
final__none,harmful,xstest,200.0,0.0,0.98,0.9497121344948062,0.9921956998236058,0.385,0.955,0.82
final__none,harmless,alpaca,1000.0,0.0030000000000000027,0.05315947843530592,0.04086960180930822,0.06887963323447893,2.791374122367101,0.024072216649949848,0.023
final__none,harmful,advbench,520.0,0.0,0.9961538461538462,0.9860859558561461,0.9989446335433976,0.03461538461538462,0.9961538461538462,0.9865384615384616
final__none,harmful,jailbreakbench,100.0,0.0,0.99,0.9455124752390653,0.9982326134344526,0.1,0.98,0.91
base__none,harmful,wildguard,500.0,0.32399999999999995,0.4230769230769231,0.37156066996342474,0.4763220921111736,1.8254437869822486,0.22485207100591717,0.11
base__none,harmless,wildguard,500.0,0.472,0.22727272727272727,0.1808437385994417,0.2815250644543035,2.0757575757575757,0.05303030303030303,0.05
sft__none,harmful,wildguard,500.0,0.0040000000000000036,0.927710843373494,0.9015436840837059,0.9473297453011837,0.4578313253012048,0.9116465863453815,0.762
sft__none,harmless,wildguard,500.0,0.03200000000000003,0.30991735537190085,0.27034853265395475,0.35247986082458427,2.2665289256198347,0.2603305785123967,0.14
dpo__none,harmful,wildguard,500.0,0.0,0.868,0.8355045607103054,0.8948837200509497,0.716,0.852,0.642
dpo__none,harmless,wildguard,500.0,0.0020000000000000018,0.14829659318637275,0.11980404903864983,0.18216301176141125,2.6012024048096194,0.12424849699398798,0.088
final__none,harmful,wildguard,500.0,0.0,0.854,0.8203500666587293,0.882251703421391,0.792,0.85,0.656
final__none,harmless,wildguard,500.0,0.0020000000000000018,0.15030060120240482,0.12162232196372644,0.18432213450129156,2.5891783567134268,0.12424849699398798,0.08
