checkpoint,n_total,n_safe,n_harmful,TP,TN,FP,FN,fp_rate,fn_rate,precision,recall,f1,refusal_rate
base__mistral_safety,500,500,0,0,421,79,0,0.158,,0.0,,,0.158
base__none,500,500,0,0,478,22,0,0.044,,0.0,,,0.044
dpo__mistral_safety,500,500,0,0,468,32,0,0.064,,0.0,,,0.064
dpo__none,500,500,0,0,470,30,0,0.06,,0.0,,,0.06
final__mistral_safety,500,500,0,0,474,26,0,0.052,,0.0,,,0.052
final__none,500,500,0,0,463,37,0,0.074,,0.0,,,0.074
sft__mistral_safety,500,500,0,0,420,80,0,0.16,,0.0,,,0.16
sft__none,500,500,0,0,412,88,0,0.176,,0.0,,,0.176
