checkpoint,n_total,n_safe,n_harmful,TP,TN,FP,FN,fp_rate,fn_rate,precision,recall,f1,refusal_rate
base__none,1000,500,500,55,475,25,445,0.05,0.89,0.6875,0.11,0.1897,0.08
dpo__mistral_safety,1000,500,500,326,452,48,174,0.096,0.348,0.8717,0.652,0.746,0.374
dpo__none,1000,500,500,321,456,44,179,0.088,0.358,0.8795,0.642,0.7422,0.365
final__mistral_safety,1000,500,500,331,459,41,169,0.082,0.338,0.8898,0.662,0.7592,0.372
final__none,1000,500,500,328,460,40,172,0.08,0.344,0.8913,0.656,0.7558,0.368
sft__mistral_safety,1000,500,500,384,429,71,116,0.142,0.232,0.844,0.768,0.8042,0.455
sft__none,1000,500,500,381,430,70,119,0.14,0.238,0.8448,0.762,0.8013,0.451
