checkpoint,position,layer,group,n,divergence_rate
dpo__none,post_instr_0,31,harmless,2208,0.10144927536231885
dpo__none,post_instr_0,31,pseudo_harm,1449,0.3360938578329883
final__none,first_gen,8,harmful,2156,0.1655844155844156
final__none,first_gen,8,harmless,2207,0.12188491164476667
final__none,first_gen,8,pseudo_harm,1449,0.2988267770876466
final__none,first_gen,16,harmful,2156,0.16743970315398882
final__none,first_gen,16,harmless,2207,0.114182147711826
final__none,first_gen,16,pseudo_harm,1449,0.2988267770876466
final__none,first_gen,19,harmful,2156,0.16697588126159557
final__none,first_gen,19,harmless,2207,0.114182147711826
final__none,first_gen,19,pseudo_harm,1449,0.30020703933747417
final__none,first_gen,24,harmful,2156,0.1655844155844156
final__none,first_gen,24,harmless,2207,0.114182147711826
final__none,first_gen,24,pseudo_harm,1449,0.2988267770876466
final__none,first_gen,26,harmful,2156,0.16604823747680886
final__none,first_gen,26,harmless,2207,0.114182147711826
final__none,first_gen,26,pseudo_harm,1449,0.2988267770876466
final__none,first_gen,31,harmful,2156,0.16512059369202226
final__none,first_gen,31,harmless,2207,0.11735387403715447
final__none,first_gen,31,pseudo_harm,1449,0.2988267770876466
final__none,last_prompt,8,harmful,2156,0.4744897959183674
final__none,last_prompt,8,harmless,2207,0.1984594472134119
final__none,last_prompt,8,pseudo_harm,1449,0.0462387853692201
final__none,last_prompt,16,harmful,2156,0.2829313543599258
final__none,last_prompt,16,harmless,2207,0.20797462618939733
final__none,last_prompt,16,pseudo_harm,1449,0.20772946859903385
final__none,last_prompt,19,harmful,2156,0.326530612244898
final__none,last_prompt,19,harmless,2207,0.2075215224286362
final__none,last_prompt,19,pseudo_harm,1449,0.1794340924775707
final__none,last_prompt,24,harmful,2156,0.34972170686456405
final__none,last_prompt,24,harmless,2207,0.19936565473493428
final__none,last_prompt,24,pseudo_harm,1449,0.13526570048309183
final__none,last_prompt,26,harmful,2156,0.37059369202226344
final__none,last_prompt,26,harmless,2207,0.1880380607159039
final__none,last_prompt,26,pseudo_harm,1449,0.10489993098688755
final__none,last_prompt,31,harmful,2156,0.4327458256029685
final__none,last_prompt,31,harmless,2207,0.22745808790212962
final__none,last_prompt,31,pseudo_harm,1449,0.0200138026224983
final__none,post_instr_0,8,harmful,2156,0.30287569573283857
final__none,post_instr_0,8,harmless,2207,0.10874490258269143
final__none,post_instr_0,8,pseudo_harm,1449,0.4347826086956522
final__none,post_instr_0,16,harmful,2156,0.2560296846011132
final__none,post_instr_0,16,harmless,2207,0.09152695967376534
final__none,post_instr_0,16,pseudo_harm,1449,0.378191856452726
final__none,post_instr_0,19,harmful,2156,0.2411873840445269
final__none,post_instr_0,19,harmless,2207,0.09515178975985505
final__none,post_instr_0,19,pseudo_harm,1449,0.37060041407867494
final__none,post_instr_0,24,harmful,2156,0.21799628942486082
final__none,post_instr_0,24,harmless,2207,0.10647938377888533
final__none,post_instr_0,24,pseudo_harm,1449,0.36438923395445133
final__none,post_instr_0,26,harmful,2156,0.2152133580705009
final__none,post_instr_0,26,harmless,2207,0.10557317625736296
final__none,post_instr_0,26,pseudo_harm,1449,0.3719806763285024
final__none,post_instr_0,31,harmful,2156,0.21196660482374763
final__none,post_instr_0,31,harmless,2207,0.09877661984594477
final__none,post_instr_0,31,pseudo_harm,1449,0.3354037267080745
sft__none,first_gen,8,harmful,2151,0.1287773128777313
sft__none,first_gen,8,harmless,2185,0.17162471395881007
sft__none,first_gen,8,pseudo_harm,1445,0.38615916955017304
sft__none,first_gen,16,harmful,2151,0.13203161320316137
sft__none,first_gen,16,harmless,2185,0.15881006864988556
sft__none,first_gen,16,pseudo_harm,1445,0.3854671280276817
sft__none,first_gen,19,harmful,2151,0.12924221292422133
sft__none,first_gen,19,harmless,2185,0.16109839816933635
sft__none,first_gen,19,pseudo_harm,1445,0.38615916955017304
sft__none,first_gen,24,harmful,2151,0.1287773128777313
sft__none,first_gen,24,harmless,2185,0.1601830663615561
sft__none,first_gen,24,pseudo_harm,1445,0.3847750865051903
sft__none,first_gen,26,harmful,2151,0.1287773128777313
sft__none,first_gen,26,harmless,2185,0.15972540045766592
sft__none,first_gen,26,pseudo_harm,1445,0.3847750865051903
sft__none,first_gen,31,harmful,2151,0.12691771269177132
sft__none,first_gen,31,harmless,2185,0.1688787185354691
sft__none,first_gen,31,pseudo_harm,1445,0.38615916955017304
sft__none,last_prompt,8,harmful,2151,0.47373314737331473
sft__none,last_prompt,8,harmless,2185,0.19954233409610989
sft__none,last_prompt,8,pseudo_harm,1445,0.04775086505190307
sft__none,last_prompt,16,harmful,2151,0.2859135285913529
sft__none,last_prompt,16,harmless,2185,0.21144164759725403
sft__none,last_prompt,16,pseudo_harm,1445,0.20069204152249132
sft__none,last_prompt,19,harmful,2151,0.33100883310088336
sft__none,last_prompt,19,harmless,2185,0.2096109839816933
sft__none,last_prompt,19,pseudo_harm,1445,0.1688581314878893
sft__none,last_prompt,24,harmful,2151,0.3565783356578336
sft__none,last_prompt,24,harmless,2185,0.20411899313501147
sft__none,last_prompt,24,pseudo_harm,1445,0.12387543252595157
sft__none,last_prompt,26,harmful,2151,0.37424453742445374
sft__none,last_prompt,26,harmless,2185,0.19405034324942794
sft__none,last_prompt,26,pseudo_harm,1445,0.09619377162629761
sft__none,last_prompt,31,harmful,2151,0.43468154346815435
sft__none,last_prompt,31,harmless,2185,0.2292906178489702
sft__none,last_prompt,31,pseudo_harm,1445,0.02006920415224911
sft__none,post_instr_0,8,harmful,2151,0.30404463040446306
sft__none,post_instr_0,8,harmless,2185,0.1038901601830664
sft__none,post_instr_0,8,pseudo_harm,1445,0.427681660899654
sft__none,post_instr_0,16,harmful,2151,0.2594142259414226
sft__none,post_instr_0,16,harmless,2185,0.08970251716247135
sft__none,post_instr_0,16,pseudo_harm,1445,0.3813148788927335
sft__none,post_instr_0,19,harmful,2151,0.2450023245002324
sft__none,post_instr_0,19,harmless,2185,0.09473684210526312
sft__none,post_instr_0,19,pseudo_harm,1445,0.37923875432525955
sft__none,post_instr_0,24,harmful,2151,0.2180381218038122
sft__none,post_instr_0,24,harmless,2185,0.10434782608695647
sft__none,post_instr_0,24,pseudo_harm,1445,0.36747404844290654
sft__none,post_instr_0,26,harmful,2151,0.21199442119944212
sft__none,post_instr_0,26,harmless,2185,0.10480549199084666
sft__none,post_instr_0,26,pseudo_harm,1445,0.3730103806228374
sft__none,post_instr_0,31,harmful,2151,0.2222222222222222
sft__none,post_instr_0,31,harmless,2185,0.11578947368421055
sft__none,post_instr_0,31,pseudo_harm,1445,0.33010380622837365
